job_id,source_condition,run_id,proposer_pool,rung,stratum_id,corpus,reference,buffer_m,frame_id,architecture,aggregation,N,min_votes,prob_t,verified,status,blocked_reason,detections_path,reference_path,bounds_path,engine,output_dir,command,k1_with_verifier,k1_with_verifier_reason,verifier_floor_basis,verifier_min_vote_seen,verifier_crop_manifest,notes
k1::55maps-generalisation::verified-paired,55maps-generalisation::verified-paired,55maps-generalisation,detect_brief-text,1,55-map|student|50m|55maps-8541,55-map,student,50,55maps-8541,proposer-verifier,verified,5,4,,true,ready,,outputs/55maps-generalisation/proposer/detect_brief-text/run_1/detections-detect_brief-text-3-flash-2026-04-09.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson,evaluate_detections,results/uplift-supplement/k1-gapfill/55maps-generalisation__verified-paired,python scripts/evaluate_detections.py --detections outputs/55maps-generalisation/proposer/detect_brief-text/run_1/detections-detect_brief-text-3-flash-2026-04-09.geojson --ground-truth inputs/vectors/references/student-mounds-55maps-reviewed.geojson --bounds inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson --buffers 5 10 15 20 25 30 35 40 45 50 75 100 125 150 --bootstrap 10000 --seed 42 --mcc --output-dir results/uplift-supplement/k1-gapfill/55maps-generalisation__verified-paired --label 55maps-generalisation__verified-paired-n1,blocked,"this cell's own verifier stage processed candidates down to vote_count >= 4 only, so singletons were never verified and no K = 1 WITH-verifier cell can be derived. Measured from outputs/55maps-generalisation/crops/candidate_manifest.json (sole-manifest). DISCLOSED, not approximated.",sole-manifest,4,outputs/55maps-generalisation/crops/candidate_manifest.json,
k1::55maps-image-generalisation::verified,55maps-image-generalisation::verified,55maps-image-generalisation,library_plus-hp,1,55-map|student|50m|55maps-8541,55-map,student,50,55maps-8541,proposer-verifier,verified,5,3,,true,ready,,outputs/55maps-image-generalisation/proposer/library_plus-hp/run_1/detections-library_plus-hp-3-flash-2026-04-18.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson,evaluate_detections,results/uplift-supplement/k1-gapfill/55maps-image-generalisation__verified,python scripts/evaluate_detections.py --detections outputs/55maps-image-generalisation/proposer/library_plus-hp/run_1/detections-library_plus-hp-3-flash-2026-04-18.geojson --ground-truth inputs/vectors/references/student-mounds-55maps-reviewed.geojson --bounds inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson --buffers 5 10 15 20 25 30 35 40 45 50 75 100 125 150 --bootstrap 10000 --seed 42 --mcc --output-dir results/uplift-supplement/k1-gapfill/55maps-image-generalisation__verified --label 55maps-image-generalisation__verified-n1,blocked,"this cell's own verifier stage processed candidates down to vote_count >= 3 only, so singletons were never verified and no K = 1 WITH-verifier cell can be derived. Measured from outputs/55maps-image-generalisation/crops/candidate_manifest.json (sole-manifest). DISCLOSED, not approximated.",sole-manifest,3,outputs/55maps-image-generalisation/crops/candidate_manifest.json,
k1::55maps-image-generalisation::verified-k3-canonical-gt,55maps-image-generalisation::verified-k3-canonical-gt,55maps-image-generalisation,library_plus-hp,1,55-map|canonical|50m|55maps-8541,55-map,canonical,50,55maps-8541,proposer-verifier,verified,5,3,,true,ready,,outputs/55maps-image-generalisation/proposer/library_plus-hp/run_1/detections-library_plus-hp-3-flash-2026-04-18.geojson,inputs/vectors/references/canonical-gt-55maps-r50.geojson,inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson,corrected_f1_multi_buffer,results/uplift-supplement/k1-gapfill/55maps-image-generalisation__verified-k3-canonical-gt,python scripts/compute_corrected_f1_multi_buffer.py --verified-detections outputs/55maps-image-generalisation/proposer/library_plus-hp/run_1/detections-library_plus-hp-3-flash-2026-04-18.geojson --student-gt inputs/vectors/references/student-mounds-55maps-reviewed.geojson --bounds inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson --buffers 5 10 15 20 25 30 35 40 45 50 75 100 125 150 --n-bootstrap 10000 --seed 42 --compute-mcc --output-dir results/uplift-supplement/k1-gapfill/55maps-image-generalisation__verified-k3-canonical-gt --review-yesterday results/55maps-extended-gt-2026-06-07/empty-yesterday-review.csv --review-today results/deployment-oracle-2026-06-06/canonical-gt/canonical-review.csv,blocked,"this cell's own verifier stage processed candidates down to vote_count >= 3 only, so singletons were never verified and no K = 1 WITH-verifier cell can be derived. Measured from outputs/55maps-image-generalisation/crops/candidate_manifest.json (sole-manifest). DISCLOSED, not approximated.",sole-manifest,3,outputs/55maps-image-generalisation/crops/candidate_manifest.json,
k1::55maps-image-generalisation::verified-k3-standardised-gt,55maps-image-generalisation::verified-k3-standardised-gt,55maps-image-generalisation,library_plus-hp,1,55-map|standardised|50m|55maps-8541,55-map,standardised,50,55maps-8541,proposer-verifier,verified,5,3,,true,ready,,outputs/55maps-image-generalisation/proposer/library_plus-hp/run_1/detections-library_plus-hp-3-flash-2026-04-18.geojson,inputs/vectors/references/best-available-gt-55maps.geojson,inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson,corrected_f1_multi_buffer,results/uplift-supplement/k1-gapfill/55maps-image-generalisation__verified-k3-standardised-gt,python scripts/compute_corrected_f1_multi_buffer.py --verified-detections outputs/55maps-image-generalisation/proposer/library_plus-hp/run_1/detections-library_plus-hp-3-flash-2026-04-18.geojson --student-gt results/deployment-oracle-2026-06-06/canonical-gt/standardised/student-mounds-55maps-standardised.geojson --bounds inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson --buffers 5 10 15 20 25 30 35 40 45 50 75 100 125 150 --n-bootstrap 10000 --seed 42 --compute-mcc --output-dir results/uplift-supplement/k1-gapfill/55maps-image-generalisation__verified-k3-standardised-gt --extension-csv results/deployment-oracle-2026-06-06/canonical-gt/standardised/extension-mounds-standardised.csv,blocked,"this cell's own verifier stage processed candidates down to vote_count >= 3 only, so singletons were never verified and no K = 1 WITH-verifier cell can be derived. Measured from outputs/55maps-image-generalisation/crops/candidate_manifest.json (sole-manifest). DISCLOSED, not approximated.",sole-manifest,3,outputs/55maps-image-generalisation/crops/candidate_manifest.json,
k1::55maps-image-generalisation::verified-k4-standardised-gt,55maps-image-generalisation::verified-k4-standardised-gt,55maps-image-generalisation,library_plus-hp,1,55-map|standardised|50m|55maps-8541,55-map,standardised,50,55maps-8541,proposer-verifier,verified,5,4,,true,ready,,outputs/55maps-image-generalisation/proposer/library_plus-hp/run_1/detections-library_plus-hp-3-flash-2026-04-18.geojson,inputs/vectors/references/best-available-gt-55maps.geojson,inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson,evaluate_detections,results/uplift-supplement/k1-gapfill/55maps-image-generalisation__verified-k4-standardised-gt,python scripts/evaluate_detections.py --detections outputs/55maps-image-generalisation/proposer/library_plus-hp/run_1/detections-library_plus-hp-3-flash-2026-04-18.geojson --ground-truth inputs/vectors/references/best-available-gt-55maps.geojson --bounds inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson --buffers 5 10 15 20 25 30 35 40 45 50 75 100 125 150 --bootstrap 10000 --seed 42 --mcc --output-dir results/uplift-supplement/k1-gapfill/55maps-image-generalisation__verified-k4-standardised-gt --label 55maps-image-generalisation__verified-k4-standardised-gt-n1,blocked,"this cell's own verifier stage processed candidates down to vote_count >= 3 only, so singletons were never verified and no K = 1 WITH-verifier cell can be derived. Measured from outputs/55maps-image-generalisation/crops/candidate_manifest.json (sole-manifest). DISCLOSED, not approximated.",sole-manifest,3,outputs/55maps-image-generalisation/crops/candidate_manifest.json,
k1::55maps-text-high-generalisation::verified,55maps-text-high-generalisation::verified,55maps-text-high-generalisation,detect_brief-text,1,55-map|student|50m|55maps-8541,55-map,student,50,55maps-8541,proposer-verifier,verified,5,4,,true,ready,,outputs/55maps-text-high-generalisation/proposer/detect_brief-text/run_1/detections-detect_brief-text-3-flash-2026-04-18.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson,evaluate_detections,results/uplift-supplement/k1-gapfill/55maps-text-high-generalisation__verified,python scripts/evaluate_detections.py --detections outputs/55maps-text-high-generalisation/proposer/detect_brief-text/run_1/detections-detect_brief-text-3-flash-2026-04-18.geojson --ground-truth inputs/vectors/references/student-mounds-55maps-reviewed.geojson --bounds inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson --buffers 5 10 15 20 25 30 35 40 45 50 75 100 125 150 --bootstrap 10000 --seed 42 --mcc --output-dir results/uplift-supplement/k1-gapfill/55maps-text-high-generalisation__verified --label 55maps-text-high-generalisation__verified-n1,blocked,"this cell's own verifier stage processed candidates down to vote_count >= 4 only, so singletons were never verified and no K = 1 WITH-verifier cell can be derived. Measured from outputs/55maps-text-high-generalisation/crops/candidate_manifest.json (sole-manifest). DISCLOSED, not approximated.",sole-manifest,4,outputs/55maps-text-high-generalisation/crops/candidate_manifest.json,
k1::55maps-text-high-generalisation::verified-k4-canonical-gt,55maps-text-high-generalisation::verified-k4-canonical-gt,55maps-text-high-generalisation,detect_brief-text,1,55-map|canonical|50m|55maps-8541,55-map,canonical,50,55maps-8541,proposer-verifier,verified,5,4,,true,ready,,outputs/55maps-text-high-generalisation/proposer/detect_brief-text/run_1/detections-detect_brief-text-3-flash-2026-04-18.geojson,inputs/vectors/references/canonical-gt-55maps-r50.geojson,inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson,corrected_f1_multi_buffer,results/uplift-supplement/k1-gapfill/55maps-text-high-generalisation__verified-k4-canonical-gt,python scripts/compute_corrected_f1_multi_buffer.py --verified-detections outputs/55maps-text-high-generalisation/proposer/detect_brief-text/run_1/detections-detect_brief-text-3-flash-2026-04-18.geojson --student-gt inputs/vectors/references/student-mounds-55maps-reviewed.geojson --bounds inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson --buffers 5 10 15 20 25 30 35 40 45 50 75 100 125 150 --n-bootstrap 10000 --seed 42 --compute-mcc --output-dir results/uplift-supplement/k1-gapfill/55maps-text-high-generalisation__verified-k4-canonical-gt --review-yesterday results/55maps-extended-gt-2026-06-07/empty-yesterday-review.csv --review-today results/deployment-oracle-2026-06-06/canonical-gt/canonical-review.csv,blocked,"this cell's own verifier stage processed candidates down to vote_count >= 4 only, so singletons were never verified and no K = 1 WITH-verifier cell can be derived. Measured from outputs/55maps-text-high-generalisation/crops/candidate_manifest.json (sole-manifest). DISCLOSED, not approximated.",sole-manifest,4,outputs/55maps-text-high-generalisation/crops/candidate_manifest.json,
k1::55maps-text-high-generalisation::verified-k3-canonical-gt,55maps-text-high-generalisation::verified-k3-canonical-gt,55maps-text-high-generalisation,detect_brief-text,1,55-map|canonical|50m|55maps-8541,55-map,canonical,50,55maps-8541,proposer-verifier,verified,5,3,0.15,true,ready,,outputs/55maps-text-high-generalisation/proposer/detect_brief-text/run_1/detections-detect_brief-text-3-flash-2026-04-18.geojson,inputs/vectors/references/canonical-gt-55maps-r50.geojson,inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson,corrected_f1_multi_buffer,results/uplift-supplement/k1-gapfill/55maps-text-high-generalisation__verified-k3-canonical-gt,python scripts/compute_corrected_f1_multi_buffer.py --verified-detections outputs/55maps-text-high-generalisation/proposer/detect_brief-text/run_1/detections-detect_brief-text-3-flash-2026-04-18.geojson --student-gt inputs/vectors/references/student-mounds-55maps-reviewed.geojson --bounds inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson --buffers 5 10 15 20 25 30 35 40 45 50 75 100 125 150 --n-bootstrap 10000 --seed 42 --compute-mcc --output-dir results/uplift-supplement/k1-gapfill/55maps-text-high-generalisation__verified-k3-canonical-gt --review-yesterday results/55maps-extended-gt-2026-06-07/empty-yesterday-review.csv --review-today results/deployment-oracle-2026-06-06/canonical-gt/canonical-review.csv,blocked,"this cell's own verifier stage processed candidates down to vote_count >= 4 only, so singletons were never verified and no K = 1 WITH-verifier cell can be derived. Measured from outputs/55maps-text-high-generalisation/crops/candidate_manifest.json (sole-manifest). DISCLOSED, not approximated.",sole-manifest,4,outputs/55maps-text-high-generalisation/crops/candidate_manifest.json,
k1::55maps-text-high-generalisation::verified-k4-standardised-gt,55maps-text-high-generalisation::verified-k4-standardised-gt,55maps-text-high-generalisation,detect_brief-text,1,55-map|standardised|50m|55maps-8541,55-map,standardised,50,55maps-8541,proposer-verifier,verified,5,4,,true,ready,,outputs/55maps-text-high-generalisation/proposer/detect_brief-text/run_1/detections-detect_brief-text-3-flash-2026-04-18.geojson,inputs/vectors/references/best-available-gt-55maps.geojson,inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson,corrected_f1_multi_buffer,results/uplift-supplement/k1-gapfill/55maps-text-high-generalisation__verified-k4-standardised-gt,python scripts/compute_corrected_f1_multi_buffer.py --verified-detections outputs/55maps-text-high-generalisation/proposer/detect_brief-text/run_1/detections-detect_brief-text-3-flash-2026-04-18.geojson --student-gt results/deployment-oracle-2026-06-06/canonical-gt/standardised/student-mounds-55maps-standardised.geojson --bounds inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson --buffers 5 10 15 20 25 30 35 40 45 50 75 100 125 150 --n-bootstrap 10000 --seed 42 --compute-mcc --output-dir results/uplift-supplement/k1-gapfill/55maps-text-high-generalisation__verified-k4-standardised-gt --extension-csv results/deployment-oracle-2026-06-06/canonical-gt/standardised/extension-mounds-standardised.csv,blocked,"this cell's own verifier stage processed candidates down to vote_count >= 4 only, so singletons were never verified and no K = 1 WITH-verifier cell can be derived. Measured from outputs/55maps-text-high-generalisation/crops/candidate_manifest.json (sole-manifest). DISCLOSED, not approximated.",sole-manifest,4,outputs/55maps-text-high-generalisation/crops/candidate_manifest.json,
k1::55maps-text-high-generalisation::verified-k3-standardised-gt,55maps-text-high-generalisation::verified-k3-standardised-gt,55maps-text-high-generalisation,detect_brief-text,1,55-map|standardised|50m|55maps-8541,55-map,standardised,50,55maps-8541,proposer-verifier,verified,5,3,0.15,true,ready,,outputs/55maps-text-high-generalisation/proposer/detect_brief-text/run_1/detections-detect_brief-text-3-flash-2026-04-18.geojson,inputs/vectors/references/best-available-gt-55maps.geojson,inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson,corrected_f1_multi_buffer,results/uplift-supplement/k1-gapfill/55maps-text-high-generalisation__verified-k3-standardised-gt,python scripts/compute_corrected_f1_multi_buffer.py --verified-detections outputs/55maps-text-high-generalisation/proposer/detect_brief-text/run_1/detections-detect_brief-text-3-flash-2026-04-18.geojson --student-gt results/deployment-oracle-2026-06-06/canonical-gt/standardised/student-mounds-55maps-standardised.geojson --bounds inputs/vectors/bounds/384/55maps_evaluation_bounds.geojson --buffers 5 10 15 20 25 30 35 40 45 50 75 100 125 150 --n-bootstrap 10000 --seed 42 --compute-mcc --output-dir results/uplift-supplement/k1-gapfill/55maps-text-high-generalisation__verified-k3-standardised-gt --extension-csv results/deployment-oracle-2026-06-06/canonical-gt/standardised/extension-mounds-standardised.csv,blocked,"this cell's own verifier stage processed candidates down to vote_count >= 4 only, so singletons were never verified and no K = 1 WITH-verifier cell can be derived. Measured from outputs/55maps-text-high-generalisation/crops/candidate_manifest.json (sole-manifest). DISCLOSED, not approximated.",sole-manifest,4,outputs/55maps-text-high-generalisation/crops/candidate_manifest.json,
