condition_id,run_id,label,proposer_pool,architecture,aggregation,derived_modality,derivation_basis,from_transmitted_configuration,routes_disagree,register_pool_modality,register_verifier_modality,passes_manifest_modality,pool_token,label_token,board_membership_track,board_opmax_track,board_opmax_modality,n_mismatches
55maps-generalisation::verified-paired,55maps-generalisation,verified-paired,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-image-generalisation::verified,55maps-image-generalisation,verified,library_plus-hp,proposer-verifier,verified,image,pass-metadata,True,False,image,text,image,,,,,,0
55maps-image-generalisation::verified-k3-canonical-gt,55maps-image-generalisation,verified-k3-canonical-gt,library_plus-hp,proposer-verifier,verified,image,pass-metadata,True,False,image,text,image,,,,,,0
55maps-image-generalisation::verified-k3-standardised-gt,55maps-image-generalisation,verified-k3-standardised-gt,library_plus-hp,proposer-verifier,verified,image,pass-metadata,True,False,image,text,image,,,,,,0
55maps-image-generalisation::verified-k4-standardised-gt,55maps-image-generalisation,verified-k4-standardised-gt,library_plus-hp,proposer-verifier,verified,image,pass-metadata,True,False,image,text,image,,,,,,0
55maps-image-generalisation::verified-k3-r2-gt,55maps-image-generalisation,verified-k3-r2-gt,library_plus-hp,proposer-verifier,verified,image,pass-metadata,True,False,image,text,image,,,,,,0
55maps-image-generalisation::verified-k4-r2-gt,55maps-image-generalisation,verified-k4-r2-gt,library_plus-hp,proposer-verifier,verified,image,pass-metadata,True,False,image,text,image,,,,,,0
55maps-text-high-generalisation::verified,55maps-text-high-generalisation,verified,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-generalisation::verified-k4-canonical-gt,55maps-text-high-generalisation,verified-k4-canonical-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-generalisation::verified-k3-canonical-gt,55maps-text-high-generalisation,verified-k3-canonical-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-generalisation::verified-k4-standardised-gt,55maps-text-high-generalisation,verified-k4-standardised-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-generalisation::verified-k3-standardised-gt,55maps-text-high-generalisation,verified-k3-standardised-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-generalisation::verified-k4-r2-gt,55maps-text-high-generalisation,verified-k4-r2-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-generalisation::verified-k3-r2-gt,55maps-text-high-generalisation,verified-k3-r2-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-t0-3-generalisation::verified,55maps-text-high-t0-3-generalisation,verified,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-t0-3-generalisation::verified-k4-canonical-gt,55maps-text-high-t0-3-generalisation,verified-k4-canonical-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-t0-3-generalisation::verified-k3-canonical-gt,55maps-text-high-t0-3-generalisation,verified-k3-canonical-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-t0-3-generalisation::verified-k4-standardised-gt,55maps-text-high-t0-3-generalisation,verified-k4-standardised-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-t0-3-generalisation::verified-k3-standardised-gt,55maps-text-high-t0-3-generalisation,verified-k3-standardised-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-t0-3-generalisation::verified-oracle-p0.20-k3-standardised-gt,55maps-text-high-t0-3-generalisation,verified-oracle-p0.20-k3-standardised-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-t0-3-generalisation::verified-k4-r2-gt,55maps-text-high-t0-3-generalisation,verified-k4-r2-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-t0-3-generalisation::verified-k3-r2-gt,55maps-text-high-t0-3-generalisation,verified-k3-r2-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-high-t0-3-generalisation::verified-oracle-p0.20-k3-r2-gt,55maps-text-high-t0-3-generalisation,verified-oracle-p0.20-k3-r2-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-min-generalisation::verified,55maps-text-min-generalisation,verified,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-min-generalisation::verified-k4-canonical-gt,55maps-text-min-generalisation,verified-k4-canonical-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-min-generalisation::verified-k3-canonical-gt,55maps-text-min-generalisation,verified-k3-canonical-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-min-generalisation::verified-k4-standardised-gt,55maps-text-min-generalisation,verified-k4-standardised-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-min-generalisation::verified-k3-standardised-gt,55maps-text-min-generalisation,verified-k3-standardised-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-min-generalisation::verified-oracle-p0.20-k3-standardised-gt,55maps-text-min-generalisation,verified-oracle-p0.20-k3-standardised-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-min-generalisation::verified-k4-r2-gt,55maps-text-min-generalisation,verified-k4-r2-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-min-generalisation::verified-k3-r2-gt,55maps-text-min-generalisation,verified-k3-r2-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
55maps-text-min-generalisation::verified-oracle-p0.20-k3-r2-gt,55maps-text-min-generalisation,verified-oracle-p0.20-k3-r2-gt,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,text,text,text,,,,,0
gold-standard-v2::consensus-3of5,gold-standard-v2,consensus-3of5,detect_brief-text,consensus,consensus,text,pass-metadata,True,False,text,,text,text,,,,,0
gold-standard-v2::consensus-4of5,gold-standard-v2,consensus-4of5,detect_brief-text,consensus,consensus,text,pass-metadata,True,False,text,,text,text,,,,,0
gold-standard-v2::consensus-5of5,gold-standard-v2,consensus-5of5,detect_brief-text,consensus,consensus,text,pass-metadata,True,False,text,,text,text,,,,,0
gold-standard-v2::verified-v1,gold-standard-v2,verified-v1,detect_brief-text,proposer-verifier,verified,text,pass-metadata,True,False,text,image,text,text,,,,,0
h10::greedy-pool-020,h10,greedy-pool-020,pool_020_hp4hn4,consensus,greedy,image,pass-metadata,True,False,image,,image,,,,,,0
h10::greedy-pool-040,h10,greedy-pool-040,pool_040_hp4hn4,consensus,greedy,image,pass-metadata,True,False,image,,image,,,,,,0
h10::greedy-pool-080,h10,greedy-pool-080,pool_080_hp4hn4,consensus,greedy,image,pass-metadata,True,False,image,,image,,,,,,0
h10::greedy-pool-160,h10,greedy-pool-160,pool_160_hp4hn4,consensus,greedy,image,pass-metadata,True,False,image,,image,,,,,,0
h10::verified-pool-160,h10,verified-pool-160,pool_160_hp4hn4,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,,,,,,0
consensus-384-t1-0::consensus-1of5,consensus-384-t1-0,consensus-1of5,384,consensus,consensus,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::consensus-2of5,consensus-384-t1-0,consensus-2of5,384,consensus,consensus,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::consensus-3of5,consensus-384-t1-0,consensus-3of5,384,consensus,consensus,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::consensus-4of5,consensus-384-t1-0,consensus-4of5,384,consensus,consensus,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::consensus-5of5,consensus-384-t1-0,consensus-5of5,384,consensus,consensus,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_1,consensus-384-t1-0,single-pass-run_1,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_2,consensus-384-t1-0,single-pass-run_2,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_3,consensus-384-t1-0,single-pass-run_3,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_4,consensus-384-t1-0,single-pass-run_4,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_5,consensus-384-t1-0,single-pass-run_5,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_6,consensus-384-t1-0,single-pass-run_6,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
