group,question,family,label_a,label_b,f1_a,f1_b,delta_f1,precision_a,precision_b,recall_a,recall_b,n_detections_a,n_detections_b,p_value_raw,p_value_adj,significant,wins_a,losses_a,ties,n_tiles
1,PV vs consensus,confirmatory,Flash HIGH text 16-of-30 + PV,Flash HIGH text 26-of-30,0.9044,0.8259,0.0785,0.9296,0.8458,0.8805,0.8069,412,415,0.0,0.0,***,54,27,406,487
1,PV vs consensus,confirmatory,Flash HIGH text 9-of-10 + PV,Flash HIGH text 9-of-10,0.8691,0.8106,0.0585,0.9716,0.8144,0.7862,0.8069,352,431,0.0,0.0,***,24,36,427,487
1,PV vs consensus,confirmatory,Flash HIGH text 4-of-5 + PV,Flash HIGH text 5-of-5,0.8908,0.7882,0.1025,0.9434,0.8072,0.8437,0.7701,389,415,0.0,0.0,***,50,27,410,487
1,PV verifier thinking,confirmatory,Flash HIGH text 4-of-5 + medium vf,Flash HIGH text 5-of-5,0.885,0.7882,0.0967,0.9041,0.8072,0.8667,0.7701,417,415,0.0,0.0,***,52,24,411,487
1,PV vs consensus (image),confirmatory,Flash HIGH image 3-of-5 + PV,Flash HIGH image 3-of-5,0.8511,0.7992,0.0519,0.8759,0.7431,0.8276,0.8644,411,506,0.0002,0.0004,***,37,40,410,487
1,PV vs consensus (Pro),confirmatory,Pro HIGH text 3-of-5 + PV,Pro HIGH text 3-of-5,0.8645,0.8554,0.0091,0.9741,0.9346,0.777,0.7885,347,367,0.2174,0.2569,ns,20,28,439,487
1,PV on single-pass text,confirmatory,Text baseline + PV,Single-pass text 5-of-5,0.832,0.5541,0.2779,0.806,0.4038,0.8598,0.8828,464,951,0.0,0.0,***,34,57,396,487
1,PV on single-pass image,confirmatory,Image baseline + PV,Single-pass text 5-of-5,0.7822,0.5541,0.2281,0.7241,0.4038,0.8506,0.8828,511,951,0.0,0.0,***,38,70,379,487
2,Text vs image,confirmatory,Flash HIGH text 5-of-5,Flash HIGH image 3-of-5,0.7882,0.7992,-0.0109,0.8072,0.7431,0.7701,0.8644,415,506,0.5589,0.6055,ns,41,46,400,487
2,Text vs image (N=10),confirmatory,Flash HIGH text 9-of-10,Flash HIGH image 6-of-10,0.8106,0.8116,-0.001,0.8144,0.7879,0.8069,0.8368,431,462,0.9561,0.9561,ns,45,36,406,487
